Time (s),SCL (V)
-6.859989830508475e-05,4.841387312348224
-6.857989830508475e-05,4.830297302265766
-6.855989830508474e-05,4.859870662485656
-6.853989830508475e-05,4.856173992458169
-6.851989830508475e-05,4.837690642320738
-6.849989830508475e-05,4.856173992458169
-6.847989830508474e-05,4.841387312348224
-6.845989830508475e-05,4.833993972293252
-6.843989830508475e-05,4.867264002540628
-6.841989830508475e-05,4.833993972293252
-6.839989830508474e-05,4.833993972293252
-6.837989830508475e-05,4.863567332513141
-6.835989830508475e-05,4.82660063223828
-6.833989830508475e-05,4.841387312348224
-6.831989830508474e-05,4.859870662485656
-6.829989830508475e-05,4.830297302265766
-6.827989830508475e-05,4.852477322430683
-6.825989830508475e-05,4.859870662485656
-6.823989830508475e-05,4.837690642320738
-6.821989830508474e-05,4.859870662485656
-6.819989830508475e-05,4.837690642320738
-6.817989830508475e-05,4.84508398237571
-6.815989830508475e-05,4.848780652403197
-6.813989830508474e-05,4.830297302265766
-6.811989830508475e-05,4.852477322430683
-6.809989830508475e-05,4.841387312348224
-6.807989830508475e-05,4.837690642320738
-6.805989830508474e-05,4.84508398237571
-6.803989830508475e-05,4.859870662485656
-6.801989830508475e-05,4.82660063223828
-6.799989830508475e-05,4.852477322430683
-6.797989830508474e-05,4.822903962210793
-6.795989830508475e-05,4.833993972293252
-6.793989830508475e-05,4.852477322430683
-6.791989830508475e-05,4.811813952128334
-6.789989830508475e-05,4.833993972293252
-6.787989830508474e-05,4.856173992458169
-6.785989830508475e-05,4.822903962210793
-6.783989830508475e-05,4.841387312348224
-6.781989830508475e-05,4.841387312348224
-6.779989830508474e-05,4.841387312348224
-6.777989830508475e-05,4.84508398237571
-6.775989830508475e-05,4.84508398237571
-6.773989830508475e-05,4.830297302265766
-6.771989830508474e-05,4.837690642320738
-6.769989830508475e-05,4.833993972293252
-6.767989830508475e-05,4.82660063223828
-6.765989830508475e-05,4.856173992458169
-6.763989830508474e-05,4.830297302265766
-6.761989830508475e-05,4.841387312348224
-6.759989830508475e-05,4.84508398237571
-6.757989830508475e-05,4.822903962210793
-6.755989830508474e-05,4.833993972293252
-6.753989830508474e-05,4.837690642320738
-6.751989830508475e-05,4.82660063223828
-6.749989830508475e-05,4.841387312348224
-6.747989830508475e-05,4.815510622155821
-6.745989830508474e-05,4.84508398237571
-6.743989830508475e-05,4.848780652403197
-6.741989830508475e-05,4.815510622155821
-6.739989830508475e-05,4.822903962210793
-6.737989830508474e-05,4.856173992458169
-6.735989830508475e-05,4.82660063223828
-6.733989830508475e-05,4.82660063223828
-6.731989830508475e-05,4.84508398237571
-6.729989830508474e-05,4.819207292183307
-6.727989830508475e-05,4.841387312348224
-6.725989830508475e-05,4.833993972293252
-6.723989830508475e-05,4.82660063223828
-6.721989830508474e-05,4.830297302265766
-6.719989830508474e-05,4.833993972293252
-6.717989830508475e-05,4.822903962210793
-6.715989830508475e-05,4.833993972293252
-6.713989830508475e-05,4.819207292183307
-6.711989830508474e-05,4.833993972293252
-6.709989830508475e-05,4.841387312348224
-6.707989830508475e-05,4.830297302265766
-6.705989830508475e-05,4.841387312348224
-6.703989830508474e-05,4.84508398237571
-6.701989830508475e-05,4.830297302265766
-6.699989830508475e-05,4.833993972293252
-6.697989830508475e-05,4.815510622155821
-6.695989830508474e-05,4.837690642320738
-6.693989830508475e-05,4.852477322430683
-6.691989830508475e-05,4.815510622155821
-6.689989830508475e-05,4.82660063223828
-6.687989830508474e-05,4.848780652403197
-6.685989830508474e-05,4.815510622155821
-6.683989830508475e-05,4.833993972293252
-6.681989830508475e-05,4.830297302265766
-6.679989830508475e-05,4.811813952128334
-6.677989830508474e-05,4.841387312348224
-6.675989830508475e-05,4.837690642320738
-6.673989830508475e-05,4.819207292183307
-6.671989830508475e-05,4.837690642320738
-6.669989830508474e-05,4.819207292183307
-6.667989830508475e-05,4.830297302265766
-6.665989830508475e-05,4.841387312348224
-6.663989830508475e-05,4.815510622155821
-6.661989830508474e-05,4.830297302265766
-6.659989830508475e-05,4.833993972293252
-6.657989830508475e-05,4.815510622155821
-6.655989830508475e-05,4.841387312348224
-6.653989830508474e-05,4.833993972293252
-6.651989830508474e-05,4.822903962210793
-6.649989830508475e-05,4.84508398237571
-6.647989830508475e-05,4.815510622155821
-6.645989830508475e-05,4.833993972293252
-6.643989830508474e-05,4.856173992458169
-6.641989830508475e-05,4.811813952128334
-6.639989830508475e-05,4.819207292183307
-6.637989830508475e-05,4.841387312348224
-6.635989830508474e-05,4.808117282100849
-6.633989830508475e-05,4.833993972293252
-6.631989830508475e-05,4.837690642320738
-6.629989830508475e-05,4.815510622155821
-6.627989830508474e-05,4.833993972293252
-6.625989830508475e-05,4.830297302265766
-6.623989830508475e-05,4.82660063223828
-6.621989830508475e-05,4.822903962210793
-6.619989830508474e-05,4.815510622155821
-6.617989830508475e-05,4.837690642320738
-6.615989830508475e-05,4.848780652403197
-6.613989830508475e-05,4.82660063223828
-6.611989830508475e-05,4.833993972293252
-6.609989830508474e-05,4.815510622155821
-6.607989830508475e-05,4.830297302265766
-6.605989830508475e-05,4.82660063223828
-6.603989830508475e-05,4.822903962210793
-6.601989830508474e-05,4.822903962210793
-6.599989830508475e-05,4.819207292183307
-6.597989830508475e-05,4.808117282100849
-6.595989830508475e-05,4.822903962210793
-6.593989830508474e-05,4.837690642320738
-6.591989830508475e-05,4.811813952128334
-6.589989830508475e-05,4.819207292183307
-6.587989830508475e-05,4.837690642320738
-6.585989830508474e-05,4.804420612073362
-6.583989830508475e-05,4.833993972293252
-6.581989830508475e-05,4.830297302265766
-6.579989830508475e-05,4.822903962210793
-6.577989830508475e-05,4.833993972293252
-6.575989830508474e-05,4.82660063223828
-6.573989830508475e-05,4.811813952128334
-6.571989830508475e-05,4.815510622155821
-6.569989830508475e-05,4.800723942045876
-6.567989830508474e-05,4.819207292183307
-6.565989830508475e-05,4.837690642320738
-6.563989830508475e-05,4.819207292183307
-6.561989830508475e-05,4.82660063223828
-6.559989830508474e-05,4.822903962210793
-6.557989830508475e-05,4.819207292183307
-6.555989830508475e-05,4.822903962210793
-6.553989830508475e-05,4.819207292183307
-6.551989830508474e-05,4.804420612073362
-6.549989830508475e-05,4.833993972293252
-6.547989830508475e-05,4.815510622155821
-6.545989830508475e-05,4.833993972293252
-6.543989830508474e-05,4.830297302265766
-6.541989830508474e-05,4.79702727201839
-6.539989830508475e-05,4.822903962210793
-6.537989830508475e-05,4.841387312348224
-6.535989830508475e-05,4.815510622155821
-6.533989830508474e-05,4.82660063223828
-6.531989830508475e-05,4.822903962210793
-6.529989830508475e-05,4.815510622155821
-6.527989830508475e-05,4.833993972293252
-6.525989830508474e-05,4.82660063223828
-6.523989830508475e-05,4.82660063223828
-6.521989830508475e-05,4.811813952128334
-6.519989830508475e-05,4.804420612073362
-6.517989830508474e-05,4.82660063223828
-6.515989830508475e-05,4.830297302265766
-6.513989830508475e-05,4.808117282100849
-6.511989830508475e-05,4.819207292183307
-6.509989830508474e-05,4.819207292183307
-6.507989830508474e-05,4.822903962210793
-6.505989830508475e-05,4.841387312348224
-6.503989830508475e-05,3.67693625369007
-6.501989830508475e-05,0.06159296680856332
-6.499989830508474e-05,-0.289590685802626
-6.497989830508475e-05,-0.2452306454727916
-6.495989830508475e-05,0.02092959650621508
-6.493989830508475e-05,-0.1195438645382607
-6.491989830508474e-05,0.0357162766161599
-6.489989830508475e-05,-0.02712711385110556
-6.487989830508475e-05,-0.0751838242084262
-6.485989830508475e-05,-0.008643763713674545
-6.483989830508474e-05,-0.08627383429088481
-6.481989830508475e-05,-0.05670047407099519
